LN = -9.6337; L2 = -0.188487
LN = -9.50814; L2 = -0.181924
LN = -9.50814; L2 = -0.181924
LN = -8.8505; L2 = -0.193134
LN = -8.8505; L2 = -0.193134
LN = -9.68797; L2 = -0.127059
LN = -9.68797; L2 = -0.127059
LN = -9.61227; L2 = -0.124949
LN = -9.61227; L2 = -0.124949
LN = -9.61268; L2 = -0.124684
LN = -9.61268; L2 = -0.124684
LN = -9.61081; L2 = -0.125182
LN = -9.61081; L2 = -0.125182
LN = -9.61143; L2 = -0.118103
LN = -9.61143; L2 = -0.118103
LN = -9.58538; L2 = -0.118131
LN = -9.58538; L2 = -0.118131
LN = -9.5853; L2 = -0.116642
LN = -9.5853; L2 = -0.116642
LN = -9.63224; L2 = -0.116721
LN = -9.63224; L2 = -0.116721
LN = -8.93749; L2 = -0.119634
LN = -8.93749; L2 = -0.119634
LN = -8.94707; L2 = -0.11869
LN = -8.94707; L2 = -0.11869
LN = -9.64; L2 = -0.115975
LN = -9.64; L2 = -0.115975
LN = -9.68311; L2 = -0.151875
LN = -9.68311; L2 = -0.151875
LN = -9.66312; L2 = -0.151215
LN = -9.66312; L2 = -0.151215
LN = -9.57151; L2 = -0.176963
LN = -9.57151; L2 = -0.176963
LN = -9.5164; L2 = -0.164828
LN = -9.57151; L2 = -0.176963
LN = -9.50058; L2 = -0.181148
LN = -9.50058; L2 = -0.181148
LN = -9.47742; L2 = -0.182442
LN = -9.47742; L2 = -0.182442
LN = -9.59674; L2 = -0.182697
LN = -9.59674; L2 = -0.182697
LN = -9.59673; L2 = -0.18006
LN = -9.59673; L2 = -0.18006
LN = -9.59592; L2 = -0.172407
LN = -9.59592; L2 = -0.172407
LN = -9.59546; L2 = -0.173011
LN = -9.59546; L2 = -0.173011
LN = -9.59679; L2 = -0.175913
LN = -9.59679; L2 = -0.175913
LN = -9.59815; L2 = -0.175445
LN = -9.59815; L2 = -0.175445
LN = -8.84522; L2 = -0.17456
LN = -8.84522; L2 = -0.17456
LN = -8.82113; L2 = -0.174134
LN = -8.82113; L2 = -0.174134
LN = -8.96632; L2 = -0.17718
LN = -8.96632; L2 = -0.17718
LN = -8.80372; L2 = -0.181467
LN = -8.80372; L2 = -0.181467
LN = -8.88903; L2 = -0.190257
LN = -8.88903; L2 = -0.190257
LN = -8.8632; L2 = -0.191216
LN = -8.8632; L2 = -0.191216
LN = -8.86288; L2 = -0.19277
LN = -8.86288; L2 = -0.19277
LN = -8.86357; L2 = -0.216664
LN = -8.86357; L2 = -0.216664
LN = -8.75456; L2 = -0.215518
LN = -8.75456; L2 = -0.215518
LN = -8.75455; L2 = -0.193407
LN = -8.75455; L2 = -0.193407
LN = -8.83462; L2 = -0.193134
LN = -8.83462; L2 = -0.193134
LN = -8.83454; L2 = -0.181102
LN = -8.83454; L2 = -0.181102
LN = -8.82707; L2 = -0.182238
LN = -8.82707; L2 = -0.182238
LN = -8.82923; L2 = -0.168991
LN = -8.82923; L2 = -0.168991
LN = -8.32538; L2 = -0.18178
LN = -8.32538; L2 = -0.18178
LN = -8.38809; L2 = -0.188358
LN = -8.38809; L2 = -0.188358
LN = -8.33586; L2 = -0.185157
LN = -8.33586; L2 = -0.185157
LN = -8.40701; L2 = -0.188058
LN = -8.40701; L2 = -0.188058
LN = -8.46386; L2 = -0.188838
LN = -8.46386; L2 = -0.188838
LN = -8.48362; L2 = -0.176047
LN = -8.48362; L2 = -0.176047
LN = -8.50123; L2 = -0.182428
LN = -8.50123; L2 = -0.182428
LN = -8.40053; L2 = -0.166609
LN = -8.40053; L2 = -0.166609
LN = -8.43318; L2 = -0.164352
LN = -8.43318; L2 = -0.164352
LN = -8.16225; L2 = -0.164005
LN = -8.16225; L2 = -0.164005
LN = -8.1484; L2 = -0.168726
LN = -8.1484; L2 = -0.168726
LN = -8.17935; L2 = -0.188275
LN = -8.17935; L2 = -0.188275
LN = -8.09993; L2 = -0.189421
LN = -8.09993; L2 = -0.189421
LN = -8.11538; L2 = -0.152249
LN = -8.09993; L2 = -0.189421
