Iteration CurSyncRatio NextSyncRatio
450 83.0782 82.9474
451 82.9474 65.9775
452 65.9775 66.0578
453 66.0578 66.3688
454 66.3688 66.2726
455 66.2726 66.8785
456 66.8785 65.8727
457 65.8727 65.8933
458 65.8933 66.766
459 66.766 68.4986
460 68.4986 71.3729
461 68.4986 65.6024
462 65.6024 65.9179
463 65.9179 65.8308
464 65.8308 65.8598
465 65.8598 48.394
466 48.394 49.4064
467 49.4064 48.7483
468 48.7483 59.02
469 48.7483 48.1066
470 48.1066 49.3708
471 48.1066 49.2375
472 49.2375 48.5152
473 48.5152 94.3707
474 48.5152 59.8028
475 48.5152 49.0557
476 49.0557 86.4264
477 49.0557 50.4264
478 50.4264 63.9318
479 50.4264 45.9858
480 45.9858 57.4773
481 45.9858 52.8259
482 52.8259 49.3389
483 49.3389 48.5544
484 48.5544 57.6668
485 48.5544 49.1013
486 49.1013 52.6907
487 52.6907 50.7507
488 50.7507 56.9487
489 50.7507 52.2431
490 52.2431 54.5917
491 54.5917 59.1545
492 59.1545 68.8519
493 59.1545 58.6189
494 58.6189 58.7012
495 58.7012 51.1049
496 51.1049 48.9941
497 48.9941 49.2647
498 49.2647 51.7371
499 51.7371 50.206
500 50.206 50.3103
501 50.3103 57.3359
502 57.3359 53.5785
503 53.5785 52.2205
504 52.2205 56.6191
505 52.2205 38.4645
506 38.4645 37.1505
507 37.1505 41.1224
508 37.1505 37.1127
509 37.1127 41.7175
510 41.7175 42.0123
511 42.0123 41.9674
512 41.9674 36.9269
513 36.9269 37.2784
514 36.9269 38.6467
515 36.9269 56.9882
516 36.9269 35.9447
517 35.9447 40.9423
518 40.9423 43.6732
519 43.6732 44.2059
520 44.2059 39.5122
521 39.5122 36.6031
522 36.6031 38.2307
523 38.2307 39.1123
524 39.1123 39.4191
525 39.4191 39.7871
526 39.7871 44.0161
527 44.0161 43.7259
528 43.7259 44.0337
529 44.0337 44.4761
530 44.4761 44.7291
531 44.7291 42.8933
532 42.8933 44.4316
533 44.4316 50.6722
534 44.4316 72.0656
535 44.4316 46.9992
536 46.9992 44.0097
537 44.0097 44.4625
538 44.4625 44.7313
539 44.7313 66.9517
540 44.7313 43.5373
541 43.5373 47.8859
542 47.8859 47.2703
543 47.2703 40.84
544 40.84 40.8718
545 40.8718 40.581
546 40.581 42.4616
547 42.4616 39.3517
548 39.3517 63.1428
549 39.3517 40.603
550 40.603 48.277
551 40.603 40.8134
552 40.8134 40.7272
553 40.7272 42.7064
554 42.7064 42.4597
555 42.4597 53.6342
556 42.4597 42.4043
557 42.4043 53.1953
558 42.4043 42.8546
559 42.8546 45.9144
560 45.9144 44.3019
561 44.3019 49.9953
562 44.3019 49.5248
563 44.3019 44.3253
564 44.3253 39.4966
565 39.4966 38.4864
566 38.4864 41.5598
567 38.4864 39.2701
568 39.2701 46.127
569 39.2701 42.583
570 39.2701 47.1325
571 39.2701 39.4502
572 39.4502 43.8971
573 43.8971 45.7926
574 45.7926 57.6087
575 45.7926 46.8097
576 46.8097 70.513
577 46.8097 55.1147
578 46.8097 41.3207
579 41.3207 54.0051
580 41.3207 38.6278
581 38.6278 37.5684
582 37.5684 39.3346
583 39.3346 40.7694
584 40.7694 40.208
585 40.208 38.622
586 38.622 39.7337
587 39.7337 46.2979
588 39.7337 39.1862
589 39.1862 39.6708
590 39.6708 37.1696
591 37.1696 39.523
592 37.1696 37.3772
593 37.3772 40.6501
594 37.3772 51.613
595 37.3772 37.0611
596 37.0611 38.9179
597 38.9179 38.6494
598 38.6494 38.3783
599 38.3783 52.5522
600 38.3783 37.7273
601 37.7273 40.4136
602 37.7273 45.4736
603 45.4736 50.138
604 45.4736 61.5425
605 45.4736 59.98
606 45.4736 42.8713
607 42.8713 44.9488
608 44.9488 44.0169
609 44.0169 47.1364
610 44.0169 44.8826
611 44.0169 48.8119
612 44.0169 63.605
613 44.0169 43.9178
614 43.9178 44.2069
615 44.2069 43.0489
616 43.0489 46.7246
617 46.7246 57.6281
618 46.7246 98.1026
619 46.7246 46.5441
620 46.5441 44.9849
621 44.9849 47.3834
622 44.9849 44.9029
623 44.9029 44.8372
624 44.8372 41.6571
625 41.6571 43.3045
626 43.3045 34.9321
627 34.9321 53.7092
628 34.9321 34.5362
629 34.5362 42.623
630 34.5362 40.9313
631 34.5362 34.048
632 34.048 33.6368
633 33.6368 33.5882
634 33.5882 35.9785
635 33.5882 39.1153
636 39.1153 37.6862
637 37.6862 37.6879
638 37.6879 37.5534
639 37.5534 40.1071
640 40.1071 45.9268
641 40.1071 41.3494
642 41.3494 40.7606
643 40.7606 47.3174
644 40.7606 42.1698
645 42.1698 50.8452
646 42.1698 42.0598
647 42.0598 64.8552
648 42.0598 45.4967
649 45.4967 46.0801
650 46.0801 51.8136
651 46.0801 45.2375
652 45.2375 49.9189
653 45.2375 45.1764
654 45.1764 51.0331
655 51.0331 53.7557
656 53.7557 41.4132
657 41.4132 47.7598
658 41.4132 38.9941
659 38.9941 38.4853
660 38.4853 36.2509
661 36.2509 38.9158
662 38.9158 45.9583
663 38.9158 37.7994
664 37.7994 37.8286
665 37.8286 38.7715
666 38.7715 45.9362
667 38.7715 42.0065
668 38.7715 38.335
669 38.335 39.5558
670 39.5558 36.9983
671 36.9983 38.2805
672 38.2805 46.1528
673 38.2805 38.5331
674 38.5331 43.2049
675 38.5331 39.4002
676 39.4002 39.5464
677 39.5464 43.0337
678 43.0337 46.6104
679 43.0337 43.6062
680 43.6062 53.5481
681 43.6062 48.0761
682 43.6062 42.887
683 42.887 50.725
684 42.887 48.1729
685 42.887 59.3821
686 42.887 39.7898
687 39.7898 39.8332
688 39.8332 44.2605
689 39.8332 45.1019
690 45.1019 39.7587
691 39.7587 37.3285
692 37.3285 35.9618
693 35.9618 41.7022
694 35.9618 41.2001
695 35.9618 37.2972
696 35.9618 39.9393
697 35.9618 40.9862
698 40.9862 46.0135
699 46.0135 46.2601
700 46.2601 55.4828
701 46.2601 43.1458
702 43.1458 39.2451
703 39.2451 39.7178
704 39.7178 43.2908
705 39.7178 35.8748
706 35.8748 37.5029
707 37.5029 37.934
708 37.934 37.9521
709 37.9521 41.2398
710 37.9521 36.5131
711 36.5131 37.355
712 36.5131 37.1127
713 37.1127 36.8359
714 36.8359 38.3999
715 36.8359 41.2798
716 36.8359 36.7277
717 36.7277 36.6481
718 36.6481 49.0555
719 36.6481 36.6871
720 36.6871 35.1425
721 35.1425 31.1509
722 31.1509 33.0259
723 31.1509 35.334
724 31.1509 38.0297
725 31.1509 32.9843
726 32.9843 32.2384
727 32.2384 37.0322
728 32.2384 35.3633
729 32.2384 30.1104
730 30.1104 35.6638
